From,To,Start,End,Chainage,Direction,Plot_Rank,Line,Code
WHA,HOM,97.85,98.69,0.84,Up,1,KTL,WHA-HOM
HOM,YMT,98.69,100.5,1.81,Up,2,KTL,HOM-YMT
YMT,MOK,100.5,101.264,0.764,Up,3,KTL,YMT-MOK
MOK,PRE,101.264,101.85,0.586,Up,4,KTL,MOK-PRE
PRE,SKM,101.85,102.648,0.798,Up,5,KTL,PRE-SKM
SKM,KOT,102.648,103.915,1.267,Up,6,KTL,SKM-KOT
KOT,LOF,103.915,104.905,0.99,Up,7,KTL,KOT-LOF
LOF,WTS,104.905,105.843,0.938,Up,8,KTL,LOF-WTS
WTS,DIH,105.843,106.652,0.809,Up,9,KTL,WTS-DIH
DIH,CHH,106.652,107.601,0.949,Up,10,KTL,DIH-CHH
CHH,KOB,107.601,109.044,1.443,Up,11,KTL,CHH-KOB
KOB,NTK,109.044,110.187,1.143,Up,12,KTL,KOB-NTK
NTK,KWT,110.187,111.055,0.868,Up,13,KTL,NTK-KWT
KWT,LAT,111.055,111.986,0.931,Up,14,KTL,KWT-LAT
LAT,YAT,111.986,113.075,1.089,Up,15,KTL,LAT-YAT
YAT,TIK,113.075,115.162,2.087,Up,16,KTL,YAT-TIK
TIK,YAT,114.896,112.806,2.09,Down,1,KTL,TIK-YAT
YAT,LAT,112.806,111.738,1.068,Down,2,KTL,YAT-LAT
LAT,KWT,111.738,110.812,0.926,Down,3,KTL,LAT-KWT
KWT,NTK,110.812,109.948,0.864,Down,4,KTL,KWT-NTK
NTK,KOB,109.948,108.791,1.157,Down,5,KTL,NTK-KOB
KOB,CHH,108.791,107.372,1.419,Down,6,KTL,KOB-CHH
CHH,DIH,107.372,106.422,0.95,Down,7,KTL,CHH-DIH
DIH,WTS,106.422,105.623,0.799,Down,8,KTL,DIH-WTS
WTS,LOF,105.623,104.69,0.933,Down,9,KTL,WTS-LOF
LOF,KOT,104.69,103.693,0.997,Down,10,KTL,LOF-KOT
KOT,SKM,103.693,102.451,1.242,Down,11,KTL,KOT-SKM
SKM,PRE,102.451,101.651,0.8,Down,12,KTL,SKM-PRE
PRE,MOK,101.651,101.066,0.585,Down,13,KTL,PRE-MOK
MOK,YMT,101.066,100.3,0.766,Down,14,KTL,MOK-YMT
YMT,HOM,100.3,98.5,1.8,Down,15,KTL,YMT-HOM
HOM,WHA,98.5,97.66,0.84,Down,16,KTL,HOM-WHA
CEN,ADM,0.309,1.036,0.727,Up,1,TWL,CEN-ADM
ADM,TST,1.036,3.431,2.395,Up,2,TWL,ADM-TST
TST,JOR,3.431,4.233,0.802,Up,3,TWL,TST-JOR
JOR,YMT,4.233,5.094,0.861,Up,4,TWL,JOR-YMT
YMT,MOK,5.094,5.858,0.764,Up,5,TWL,YMT-MOK
MOK,PRE,5.858,6.444,0.586,Up,6,TWL,MOK-PRE
PRE,SSP,6.444,7.389,0.945,Up,7,TWL,PRE-SSP
